mLensID,imdbID,ratingAvg,ratingNum,releaseDate,releaseYear,durationMin,mpaaRating,director,country,language,budget,gross
"54254","457308","6.2","2,385","31 August 2007 (Brazil)","2007","97","R","Joey Lauren Adams","USA","English","$6,000,000","$117,560"
"54256","787475","6.7","62,915","3 August 2007 (USA)","2007","0","PG-13","Akiva Schaffer","USA","English","Unavailable","$13,920,741"
"54259","486655","7.7","219,524","10 August 2007 (USA)","2007","127","PG-13","Matthew Vaughn","UK","English","$70,000,000","$38,345,403"
"54262","58383","7.2","3,407","March 1964 (UK)","(UK)","90","Unrated","George Pollock","UK","English","Unavailable","Unavailable"
"54268","785077","2.1","13,934","27 July 2007 (USA)","2007","0","PG-13","Don Michael Paul","USA","English","$7,000,000","$5,694,308"
"54270","461703","4.6","11,896","10 August 2007 (USA)","2007","110","R","James Isaac","Canada","English","Unavailable","$1,018,965"
"54272","462538","7.4","267,420","27 July 2007 (USA)","2007","87","PG-13","David Silverman","USA","English","$75,000,000","$183,132,370"
"54274","897361","3.6","23,501","27 July 2007 (USA)","2007","0","R","Chris Sivertson","USA","English","$12,000,000","$7,233,485"
"54276","481141","6.3","61,113","27 July 2007 (USA)","2007","104","PG","Scott Hicks","USA","English","$28,000,000","$43,097,652"
"54278","467110","4.8","16,273","3 August 2007 (USA)","2007","0","PG","Frederik Du Chau","USA","English","Unavailable","$43,751,706"
"54281","423977","7","57,878","22 February 2008 (USA)","2008","97","R","Jon Poll","USA","English","$12,000,000","$3,950,294"
"54284","458522","5.5","4,204","3 August 2007 (USA)","2007","116","R","Leon Ichaso","USA","Spanish","Unavailable","$7,556,004"
"54286","440963","8.1","521,408","3 August 2007 (USA)","2007","115","PG-13","Paul Greengrass","USA","English","$110,000,000","$227,137,090"
"54290","804452","2.8","15,232","3 August 2007 (USA)","2007","0","PG","Sean McNamara","USA","English","Unavailable","$10,005,534"
"54318","54286","7.1","1,435","July 1961 (USA)","(USA)","96","None","Nagisa Ôshima","Japan","Japanese","Unavailable","Unavailable"
"54326","439810","7.7","320","22 January 2005 (USA)","2005","0","None","Scott Dalton","Colombia","Spanish","Unavailable","Unavailable"
"54328","778784","6.7","5,367","3 August 2007 (USA)","2007","94","PG-13","Patrice Leconte","France","French","Unavailable","$1,422,461"
"54331","796375","6.5","16,479","13 July 2007 (USA)","2007","93","R","John Dahl","USA","English","$4,000,000","$2,426,851"
"54341","430768","6.2","1,846","25 May 2007 (UK)","2007","81","NotRated","Cam Archer","USA","English","$50,000","$9,089"
"54349","456630","6.2","5,368","7 January 2006 (Japan)","2006","96","R","Takashi Shimizu","Japan","Japanese","Unavailable","Unavailable"
"54354","478116","7.6","514","27 September 2008 (Japan)","2008","86","None","Micha X. Peled","USA","Cantonese","Unavailable","Unavailable"
"54372","362225","7.6","40,080","8 August 2008 (USA)","2008","131","Unrated","Guillaume Canet","France","French","&euro;11,700,000","$6,177,192"
"54378","890882","6.6","1,760","23 February 2007 (Finland)","2007","104","None","Aleksi Salmenperä","Finland","Finnish","&euro;1,350,000","Unavailable"
"54406","24353","6.6","2,017","18 August 1933 (USA)","1933","74","Passed","Lowell Sherman","USA","English","$239,000","Unavailable"
"54419","402906","7.5","1,897","15 June 2007 (USA)","2007","90","None","Vít Klusák","Czech Republic","Czech","Unavailable","$17,393"
"54426","809407","7.4","5,927","29 September 2006 (Romania)","2006","89","Unrated","Corneliu Porumboiu","Romania","Romanian","&euro;200,000","$88,066"
"54445","69095","6.7","4,703","June 1973 (USA)","(USA)","103","PG","Giuseppe Colizzi","Italy","Italian","Unavailable","Unavailable"
