imdbID,title,year,mpaa,duration,genres,rating,metascore,summary,directors,stars,numvotes,gross
0080684,"Star Wars: Episode V - The Empire Strikes Back",1980,PG,124,Action++Adventure++Fantasy,8.8,81,"After the rebels have been brutally overpowered by the Empire on their newly established base, Luke Skywalker takes advanced Jedi training with Master Yoda, while his friends are pursued by Darth Vader as part of his plan to capture Luke.",Irvin Kershner,Mark Hamill++Harrison Ford++Carrie Fisher++Billy Dee Williams,905172,$290.16M
0081505,"The Shining",1980,R,146,Drama++Horror,8.4,61,"A family heads to an isolated hotel for the winter where an evil and spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future.",Stanley Kubrick,Jack Nicholson++Shelley Duvall++Danny Lloyd++Scatman Crothers,659912,
0081398,"Raging Bull",1980,R,129,Biography++Drama++Sport,8.2,92,"An emotionally self-destructive boxer's journey through life, as the violence and temper that leads him to the top in the ring destroys his life outside it.",Martin Scorsese,Robert De Niro++Cathy Moriarty++Joe Pesci++Frank Vincent,250349,$0.05M
0080678,"The Elephant Man",1980,PG,124,Biography++Drama,8.2,,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous facade, there is revealed a person of intelligence and sensitivity.",David Lynch,Anthony Hopkins++John Hurt++Anne Bancroft++John Gielgud,173351,
0080339,"Airplane!",1980,PG,88,Comedy,7.8,78,"A man afraid to fly must ensure that a plane lands safely after the pilots become sick.",Jim Abrahams++David Zucker++Jerry Zucker,Robert Hays++Julie Hagerty++Leslie Nielsen++Kareem Abdul-Jabbar,169733,$83.40M
0080455,"The Blues Brothers",1980,R,133,Action++Comedy++Crime,7.9,54,"Jake Blues, just out from prison, puts together his old band to save the Catholic home where he and brother Elwood were raised.",John Landis,John Belushi++Dan Aykroyd++Cab Calloway++John Candy,150152,$54.20M
0080761,"Friday the 13th",1980,R,95,Horror++Mystery++Thriller,6.5,35,"A group of camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp which, years before, was the site of a child's drowning.",Sean S. Cunningham,Betsy Palmer++Adrienne King++Jeannine Taylor++Robbi Morgan,88882,$37.47M
0080487,"Caddyshack",1980,R,98,Comedy++Sport,7.3,44,"An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.",Harold Ramis,Chevy Chase++Rodney Dangerfield++Bill Murray++Ted Knight,86262,$39.80M
0081573,"Superman II",1980,PG,127,Action++Adventure++Sci-Fi,6.8,87,"Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.",Richard Lester++Richard Donner,Gene Hackman++Christopher Reeve++Margot Kidder++Ned Beatty,80895,$108.20M
0080453,"The Blue Lagoon",1980,R,104,Adventure++Drama++Romance,5.7,,"In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene.",Randal Kleiser,Brooke Shields++Christopher Atkins++Leo McKern++William Daniels,52553,
0080749,"The Fog",1980,R,89,Horror++Thriller,6.8,,"Legend says that Antonio Bay was built in 1880 with blood money obtained from shipwrecked lepers, which no one believes. On the eve of the town's centennial, many plan to attend the celebrations, including the murdered lepers.",John Carpenter,Adrienne Barbeau++Jamie Lee Curtis++Janet Leigh++John Houseman,49356,$21.38M
